Peachtree & 10th,G LT,Y LT,R LT,G TR,Y TR,R TR/LT
Eastbound,8,,1.8,30,,55
Westbound,5,,4.2,28,,55
Northbound,7,,2.2,69.2,,49.3
Southbound,7,,2.2,34.7,,49.3
,,,,,,
Peachtree & 11th,,,,G TR,Y TR,R TR
Eastbound,,,,20.2,,76.1
Westbound,,,,20.3,,76.2
Northbound,,,,83,,55.4
Southbound,,,,41.5,,55.4
,,,,,,
Peachtree & 12th,,,,G TR,Y TR,R TR
Eastbound,,,,27.3,,69.2
Westbound,,,,27.3,,69.2
Northbound,,,,121,,35.7
Southbound,,,,61.4,,35.7
,,,,,,
Peachtree & 14th,G LT,Y LT,R LT,G TR,Y TR,R TR/LT
Eastbound,9.8,,87,36.9,,60.2
Westbound,,,,22.4,,74
Northbound,8.8,,3.6,70,,46.1
Southbound,11.6,,0.5,36.6,,45.3